a,b,c,d,e,f,you
179,131,264,33,91,76,3
159,36,120,73,143,115,2
104,87,18,95,200,123,1
74,29,180,57,223,62,0
121,19,158,111,97,100,0
142,60,178,4,206,125,1
176,109,105,53,188,119,0
175,34,102,26,31,115,0
164,98,161,117,23,28,1
57,27,207,23,187,39,4
197,31,215,124,30,129,0
187,15,125,64,17,102,1
123,28,172,73,227,66,2
43,28,238,123,152,85,2
12,87,53,26,46,65,0
173,51,210,75,84,44,3
199,78,120,35,68,125,1
97,104,12,118,66,119,1
236,52,211,71,10,17,1
17,87,119,31,37,112,3
150,71,197,112,163,6,3
8,102,265,53,212,128,1
172,58,234,120,73,87,3
183,4,113,8,262,64,2
165,113,70,128,92,128,4
84,38,235,119,267,50,3
250,19,188,115,153,88,0
74,72,62,31,128,27,3
167,65,204,73,187,48,4
42,65,137,64,117,70,4
189,56,106,76,204,19,1
149,17,199,64,113,123,3
127,125,13,66,16,123,0
91,99,201,40,256,52,3
34,62,208,87,257,16,0
15,28,16,96,196,75,3
128,128,144,46,241,7,0
131,60,180,30,76,40,2
179,117,145,123,203,10,3
180,106,244,78,115,47,1
127,70,17,90,234,31,0
253,122,120,18,125,17,4
83,115,211,105,112,35,3
74,119,80,33,231,65,0
79,127,266,19,101,131,2
240,63,204,75,134,78,0
260,72,80,26,75,54,4
151,78,98,69,95,58,4
65,33,38,33,225,84,1
129,7,146,28,113,102,3
221,118,102,67,199,21,0
11,68,61,125,80,47,3
168,111,157,41,86,74,3
134,117,127,126,132,58,2
56,88,161,62,80,27,0
10,103,31,16,160,65,2
62,71,167,71,135,15,1
62,84,21,12,49,67,2
172,40,135,31,48,70,2
114,20,154,92,30,7,0
133,59,33,30,14,97,0
19,65,47,124,213,72,2
107,112,195,98,182,90,4
197,59,178,32,121,129,0
186,74,178,54,145,68,3
182,17,252,64,78,118,0
14,49,19,88,248,28,0
249,114,68,96,250,12,1
260,34,70,11,194,109,3
189,50,132,31,222,125,2
8,55,255,100,145,107,0
112,41,130,78,94,102,3
203,56,237,57,80,101,0
154,86,181,19,214,103,1
186,101,20,24,129,52,2
178,20,259,115,18,77,2
155,10,14,5,124,81,3
86,104,33,64,112,56,3
153,85,170,128,54,57,0
107,67,86,25,111,40,3
175,11,39,126,220,20,2
204,53,11,88,188,113,1
5,7,69,119,72,51,1
141,21,267,77,96,119,3
104,120,48,89,149,111,3
149,115,267,51,31,23,0
214,12,68,114,37,90,3
142,93,250,96,104,112,0
256,46,154,66,237,123,0
216,84,166,54,11,52,2
167,63,264,101,255,9,0
250,50,216,120,243,130,4
90,16,88,58,177,112,1
222,23,49,128,55,128,4
143,74,15,115,83,76,3
63,7,68,75,136,42,0
159,18,102,125,245,81,1
140,24,7,34,265,59,3
63,17,8,16,148,44,2
16,18,238,37,15,35,1
14,48,208,98,57,130,0
122,124,51,105,109,36,2
158,32,19,75,176,24,0
109,46,19,127,142,45,3
72,56,260,64,6,34,1
171,87,106,42,183,115,3
153,73,231,12,245,24,4
182,98,231,12,245,24,4
39,10,256,108,234,127,4
198,62,256,108,238,122,4
159,68,166,113,40,123,0
152,41,166,113,40,123,0
154,16,166,113,40,123,0
178,47,166,113,40,123,0
178,47,248,67,41,117,0
115,62,109,20,221,115,1
77,83,109,20,221,115,1
65,115,109,20,221,115,1
133,87,13,22,141,22,3
124,116,13,22,141,22,3
151,116,13,22,141,22,3
209,88,13,22,186,20,3
125,86,13,22,28,108,3
181,80,13,22,28,108,3
181,80,28,123,176,24,2
181,80,28,123,34,48,2
96,89,28,123,188,87,3
124,86,54,122,181,102,2
90,80,54,122,192,99,2
94,50,54,122,172,75,2
32,40,54,122,239,120,1
51,56,54,122,239,120,1
214,67,54,122,208,122,2
83,57,37,126,27,109,4
225,85,231,125,230,112,4
113,62,254,33,238,15,4
75,99,244,15,75,14,2
246,66,244,15,118,64,3
105,111,244,15,113,37,2
164,121,229,124,29,119,0
126,73,254,94,47,121,0
178,12,45,110,202,126,2
220,21,30,33,187,99,0
157,81,151,35,194,108,1
192,84,25,6,108,108,3
96,57,203,19,59,109,3
64,26,97,119,76,10,2
177,32,239,63,57,115,0
180,103,162,41,56,49,1
31,53,211,72,41,119,1
236,31,106,34,13,130,0
166,49,18,42,266,20,0
202,103,227,110,252,34,0
166,94,132,48,218,120,0
166,107,184,13,80,6,1
264,75,162,82,228,129,0
140,106,193,124,211,21,0
198,72,265,8,88,65,3
8,7,188,93,205,86,4
144,19,258,18,9,7,2
66,74,264,76,5,122,0
152,73,218,32,187,128,2
186,31,233,22,38,42,2
56,56,27,42,22,20,4
133,95,10,20,134,13,3
161,71,184,14,130,95,3
178,99,241,11,116,14,2
240,79,154,65,154,77,4
51,33,22,126,186,56,3
164,91,106,75,163,25,3
156,106,106,75,163,25,3
182,110,138,91,163,25,2
171,61,138,91,163,25,3
31,105,211,107,43,119,0
139,122,128,32,101,109,0
113,89,175,110,50,129,0
80,89,199,125,220,108,4
153,39,208,121,23,78,3
153,39,208,121,62,66,3
151,97,17,118,131,33,2
151,97,17,118,217,117,2
151,97,17,118,187,96,3
12,131,256,102,249,127,4
151,51,48,54,233,119,1
164,121,36,119,138,29,2
208,10,41,11,240,17,1
135,17,17,61,37,64,4
61,14,52,124,17,129,4
129,48,251,11,240,26,4
190,61,214,83,61,89,2
173,72,60,109,200,79,2
7,96,21,114,256,109,2
101,87,262,120,205,109,2
147,76,97,71,231,13,1
146,47,134,86,266,64,2
136,19,52,123,52,18,2
31,24,45,19,14,106,1
99,108,192,98,26,128,1
42,115,58,77,242,105,1
213,35,115,49,255,44,1
211,71,141,67,242,119,0
211,71,197,34,218,118,1
157,73,40,11,213,125,2
157,73,40,11,162,22,3
157,73,22,31,35,18,4
95,120,18,124,18,17,1
96,119,18,124,18,17,1
99,118,18,124,18,17,1
39,117,18,124,18,17,1
43,116,18,124,18,17,1
50,116,18,124,18,17,1
56,116,18,124,18,17,1
64,115,18,124,18,17,1
77,115,18,124,18,17,1
91,115,18,124,18,17,1
106,114,18,124,18,17,1
126,115,18,124,18,17,1
140,114,18,124,18,17,1
157,115,18,124,18,17,1
178,112,18,124,18,17,1
195,111,18,124,18,17,1
212,112,18,124,18,17,1
232,111,18,124,18,17,1
248,110,18,124,18,17,1
139,87,138,7,18,17,1
139,87,144,8,18,17,1
139,87,148,9,18,17,1
139,87,154,11,18,17,1
139,87,162,12,18,17,1
139,87,169,13,18,17,1
139,87,176,13,18,17,1
139,87,183,13,18,17,1
139,87,188,11,18,17,1
139,87,195,10,18,17,1
150,87,195,10,18,17,1
161,85,195,10,18,17,1
172,85,195,10,18,17,1
181,85,195,10,18,17,1
180,92,195,10,18,17,1
174,94,195,10,18,17,1
169,95,195,10,18,17,1
161,96,195,10,18,17,1
155,97,195,10,18,17,1
149,97,195,10,18,17,1
161,105,195,10,18,17,1
168,104,195,10,18,17,1
173,104,195,10,18,17,1
180,106,195,10,18,17,1
187,106,195,10,18,17,1
192,106,195,10,18,17,1
197,106,195,10,18,17,1
197,106,201,10,18,17,1
200,105,201,10,18,17,1
200,105,208,10,18,17,1
208,104,208,10,18,17,1
212,103,216,9,18,17,1
212,103,220,11,18,17,1
212,103,225,11,18,17,1
45,102,208,12,10,88,2
50,104,212,9,10,88,2
50,104,213,16,10,88,2
50,104,213,21,10,88,2
50,104,216,24,10,88,2
50,104,221,27,10,88,2
50,104,225,23,10,88,2
50,104,228,18,10,88,2
50,104,225,12,10,88,2
53,101,225,12,10,88,2
57,102,225,12,10,88,2
62,102,225,12,10,88,2
62,107,225,12,10,88,2
69,107,225,12,10,88,2
74,107,225,12,10,88,2
80,108,225,12,10,88,2
86,108,225,12,10,88,2
91,106,225,12,10,88,2
96,106,225,12,10,88,2
96,106,225,12,10,83,2
96,106,225,12,12,79,2
96,106,225,12,15,80,2
96,106,225,12,20,80,2
96,106,225,12,26,80,2
96,106,225,12,31,80,2
96,106,225,12,30,82,2
96,106,225,12,32,85,2
96,106,225,12,37,86,2
96,106,225,12,43,82,2
96,106,225,12,43,85,2
96,106,225,12,46,85,2
96,106,225,12,48,79,2
96,106,225,12,51,85,2
96,106,225,12,54,80,2
96,106,205,11,54,80,2
149,92,246,125,190,7,3
144,93,246,125,190,7,3
162,93,246,125,190,7,3
167,93,246,125,190,7,3
172,93,246,125,190,7,3
173,89,246,125,190,7,3
171,84,246,125,190,7,3
171,80,246,125,190,7,3
168,77,246,125,190,7,3
169,73,246,125,190,7,3
